url,video_name,duration_seconds,tempo_bpm,rms_energy,amplitude_spike_ratio,zero_crossing_rate,visual_score,words_per_second,avg_text_area_ratio,text_change_rate,audio_score,text_score,final_afi,category,elapsed_seconds
https://youtube.com/shorts/ojWqhQATfGY?si=uKKNIgEGsehyI9hQ,,20.01,156.25,0.09738,0.03436,0.11914,76.32,0.8,0.01841,0.4007,61.93,27.59,59.1,Moderate,25.9
https://youtube.com/shorts/mdggrep3QQM?si=aLijfvBLJ8OJyGqR,,57.17,144.231,0.09905,0.0337,0.13075,40.52,1.828,0.03292,0.1928,57.47,19.07,41.09,Moderate,55.5
https://youtube.com/shorts/3KoqtbyG3Dg?si=m0WWWb3X1Y2u8BKZ,,57.21,110.294,0.08179,0.02914,0.11585,35.36,3.241,0.04126,0.2278,33.76,24.75,32.15,Moderate,60.8
https://youtube.com/shorts/WQhT5uZcHRs?si=ItT-9MCx_5cDEuQs,,57.11,144.231,0.09312,0.03218,0.12451,37.17,3.241,0.04227,0.1752,54.53,21.62,39.36,Moderate,66.8
https://youtube.com/shorts/2xG_E8GxCYY?si=UhrPjWg-AcJ-9BYZ,,59.63,156.25,0.08713,0.02928,0.10015,48.48,4.9,0.05555,0.2521,53.37,31.28,45.89,Moderate,53.5
https://youtube.com/shorts/iC4tQyl6PPA?si=GPMY2xsE5s7kPaZ3,,59.26,125.0,0.11804,0.03162,0.11118,70.94,2.0,0.04834,0.0846,46.21,15.59,48.45,Moderate,47.3
https://youtube.com/shorts/w65DbTvBops?si=-QcjPgdl2imzyC78,,61.3,98.684,0.07764,0.02722,0.10148,53.36,2.129,0.03596,0.1635,24.29,18.21,34.4,Moderate,48.3
https://youtube.com/shorts/hZM3vRsnVls?si=POqCJmFkDae1apIG,,28.16,110.294,0.15842,0.03392,0.12549,12.19,4.4,0.02945,0.391,47.98,34.11,30.2,Moderate,24.9
https://youtube.com/shorts/e1loDbKCphA?si=HspSipRJ24VvRkd2,,4.2,89.286,0.17427,0.04521,0.14408,15.93,25.333,0.11352,0.0,53.42,52.5,38.19,Moderate,6.8
https://youtube.com/shorts/J6EBtDbZ8VE?si=jMXsaNFndz8EQXpN,,12.95,104.167,0.24398,0.02225,0.1425,68.83,13.429,0.08014,0.3886,44.58,55.55,57.02,Moderate,15.5
https://youtube.com/shorts/l5mT10c48NA?si=Wuy3NCH-IAqr7gpj,,6.95,110.294,0.20562,8e-05,0.03595,38.18,39.5,0.30821,0.0,28.95,75.0,44.15,Moderate,10.4
https://youtube.com/shorts/xiU-TspyJSA?si=kRi0U4eR6vn8WG70,,53.59,104.167,0.09982,0.03108,0.07926,99.69,3.63,0.09336,0.0934,30.16,27.41,57.28,Moderate,47.8
https://youtube.com/shorts/a0s-u6v2m_c?si=JryTmKVg9LUOBPXG,,15.0,144.231,0.01044,0.01699,0.21447,8.34,9.125,0.08514,0.0667,38.34,30.83,24.46,Calm,13.4
https://youtube.com/shorts/8AklV1mYvNU?si=eaplCqRU6Ei8bbgY,,11.01,110.294,0.00592,0.02968,0.10911,3.41,0.0,0.0,0.0,25.47,0.0,10.28,Calm,8.4
https://youtube.com/shorts/el4HyIAhXyc?si=RoeZVjy88QrCWAFo,,57.35,133.929,0.00501,0.02273,0.1749,34.22,0.276,0.01055,0.2267,37.74,14.73,30.58,Moderate,28.1
https://youtube.com/shorts/6-WiVyeW5Zs?si=E19SJNK__ZCpiSby,,180.07,133.929,0.04299,0.03429,0.09189,51.53,0.322,0.00745,0.0611,42.36,3.91,36.42,Moderate,96.4
https://youtube.com/shorts/War_MMMFq_0?si=XaNei1aF_w2tFStw,,127.52,125.0,0.10756,0.02428,0.06525,49.72,1.984,0.02209,0.1491,31.95,14.26,34.64,Moderate,90.2
https://youtube.com/shorts/hsGgL_wc2ZQ?si=fiqambnGb7U7dtBp,,166.68,144.231,0.09029,0.02809,0.08516,53.31,1.869,0.02848,0.1921,45.15,18.16,41.67,Moderate,142.0
https://youtube.com/shorts/OrxtCWwrIOw?si=VyEScWTAmsztiBiT,,99.94,156.25,0.12596,0.0203,0.05924,70.29,1.8,0.02044,0.1202,43.78,11.86,46.4,Moderate,88.9
https://youtube.com/shorts/UrNNQsLtxZA?si=_3qGVFARLNN9D_jv,,125.99,98.684,0.158,0.03284,0.1302,51.29,2.206,0.01348,0.3969,42.19,28.32,42.36,Moderate,150.8
https://youtube.com/shorts/f0asKh6Orig?si=DS7UWouYtp66Wf0M,,17.11,75.0,0.17322,0.02824,0.11758,72.88,2.778,0.0136,0.3523,35.31,26.39,48.11,Moderate,35.0
https://youtube.com/shorts/7IPsZiZRrMQ?si=LUfzCBb6gtaJs3q7,,25.79,187.5,0.10668,0.03169,0.11749,40.49,2.923,0.02403,0.3112,66.54,26.1,46.01,Moderate,24.5
https://youtube.com/shorts/DksfNbBiMZ4?si=6IP1Ty3d7BYIxk6w,,11.37,110.294,0.09074,0.0203,0.18158,4.31,4.5,0.04061,0.0885,34.08,17.34,17.99,Calm,17.8
https://youtube.com/shorts/jl_-nLs5Jfs?si=qhpx2rK_H1hgNrzw,,5.85,117.188,0.17719,0.02977,0.09465,18.49,26.0,0.10096,0.1724,45.1,61.68,38.6,Moderate,8.6
https://youtube.com/shorts/kxXVVMNe5SI?si=BaLQWOHZTg3BIeXp,,26.71,104.167,0.19196,0.02632,0.10858,47.42,2.357,0.02602,0.15,39.13,15.59,36.56,Moderate,27.7
https://youtube.com/shorts/tEOBkki6KzE?si=npTJr5dG5I66o7sk,,46.81,144.231,0.087,0.02589,0.09748,28.36,11.5,0.08099,0.0,44.19,28.69,33.98,Moderate,74.5
https://youtube.com/shorts/AvfGjccq9gY?si=qhbufy82NhF4V2qy,,11.14,170.455,0.13545,0.01869,0.17675,23.39,38.0,0.23306,0.0,64.34,75.0,50.62,Moderate,18.7
